iter	Passed	Remaining
0	202	202314
1	208	103974
2	212	70734
3	217	54152
4	222	44224
5	229	38083
6	235	33373
7	238	29522
8	242	26692
9	245	24266
10	248	22326
11	254	20966
12	256	19499
13	259	18263
14	261	17170
15	265	16341
16	268	15505
17	270	14759
18	272	14090
19	274	13462
20	277	12933
21	280	12464
22	282	11989
23	284	11549
24	285	11143
25	287	10765
26	288	10412
27	291	10112
28	292	9807
29	294	9531
30	296	9265
31	298	9022
32	300	8795
33	303	8636
34	305	8427
35	307	8232
36	309	8045
37	310	7866
38	312	7694
39	313	7531
40	315	7390
41	317	7245
42	319	7113
43	321	6979
44	322	6847
45	324	6722
46	325	6602
47	330	6548
48	332	6445
49	333	6341
50	335	6242
51	337	6145
52	338	6050
53	341	5975
54	343	5903
55	345	5826
56	347	5745
57	348	5664
58	350	5587
59	352	5515
60	353	5442
61	355	5378
62	357	5311
63	358	5247
64	360	5187
65	362	5126
66	364	5069
67	365	5002
68	366	4943
69	369	4914
70	371	4860
71	373	4807
72	374	4756
73	376	4706
74	378	4663
75	380	4621
76	383	4598
77	385	4553
78	388	4527
79	389	4484
80	391	4440
81	392	4397
82	394	4356
83	397	4334
84	398	4293
85	400	4259
86	402	4221
87	404	4188
88	405	4154
89	408	4130
90	410	4099
91	412	4074
92	414	4044
93	416	4015
94	418	3984
95	419	3954
96	422	3932
97	424	3903
98	425	3874
99	427	3847
100	429	3820
101	430	3787
102	431	3761
103	433	3734
104	436	3721
105	438	3699
106	440	3675
107	442	3651
108	443	3629
109	445	3605
110	447	3582
111	449	3565
112	451	3546
113	453	3523
114	455	3503
115	456	3481
116	458	3462
117	460	3443
118	462	3423
119	463	3401
120	466	3388
121	467	3367
122	468	3343
123	470	3322
124	471	3303
125	474	3290
126	476	3275
127	477	3253
128	479	3235
129	480	3217
130	482	3200
131	484	3183
132	485	3165
133	488	3157
134	490	3141
135	492	3130
136	494	3113
137	495	3095
138	497	3079
139	498	3064
140	500	3051
141	502	3038
142	504	3023
143	505	3007
144	507	2992
145	509	2978
